,heart,sleep,step
2018-06-16 0.5時,72.3,3.0,22.3
2018-06-16 0.75時,56.7,3.0,44.5
2018-06-16 1.0時,57.7,3.0,50.0
2018-06-16 1.25時,61.0,3.0,18.0
2018-06-16 1.5時,70.0,3.0,14.7
2018-06-16 1.75時,67.7,3.0,4.0
2018-06-16 2.0時,55.0,3.0,87.0
2018-06-16 2.5時,75.7,3.0,161.0
2018-06-16 2.75時,73.3,3.0,127.0
2018-06-16 3.75時,73.0,3.0,69.0
2018-06-16 4.0時,71.7,3.0,130.0
2018-06-16 4.25時,61.7,2.3,0.0
2018-06-16 4.5時,63.3,1.0,0.0
2018-06-16 4.75時,63.3,1.3,0.0
2018-06-16 5.0時,63.7,1.0,0.0
2018-06-16 5.25時,64.0,1.0,0.0
2018-06-16 5.5時,63.0,1.0,0.0
2018-06-16 5.75時,64.7,1.3,0.0
2018-06-16 6.0時,63.3,2.3,0.0
2018-06-16 6.25時,67.7,2.3,0.0
2018-06-16 6.5時,63.7,2.0,0.0
2018-06-16 6.75時,60.0,2.0,0.0
2018-06-16 7.0時,65.3,2.0,0.0
2018-06-16 7.25時,61.7,2.3,0.0
2018-06-16 7.5時,57.3,2.0,0.0
2018-06-16 7.75時,57.7,2.0,0.0
2018-06-16 8.0時,53.7,2.0,0.0
2018-06-16 8.25時,58.3,1.0,0.0
2018-06-16 8.5時,56.3,1.7,0.0
2018-06-16 8.75時,53.7,2.0,0.0
2018-06-16 9.0時,55.0,1.3,0.0
2018-06-16 9.25時,54.3,1.3,0.0
2018-06-16 9.5時,53.0,2.0,10.0
2018-06-16 9.75時,58.5,1.7,0.0
2018-06-16 10.0時,55.0,1.0,0.0
2018-06-16 10.25時,72.0,1.0,0.0
2018-06-16 10.5時,53.0,2.0,0.0
2018-06-16 10.75時,54.5,2.0,0.0
2018-06-16 11.0時,93.0,3.0,76.0
2018-06-16 11.25時,70.3,3.0,24.5
2018-06-16 11.75時,70.3,3.0,45.0
2018-06-17 22.25時,76.3,2.7,0.0
2018-06-17 22.5時,73.0,1.0,0.0
2018-06-17 22.75時,73.3,1.7,0.0
2018-06-17 23.0時,75.0,2.0,0.0
2018-06-17 23.25時,72.7,2.0,0.0
2018-06-17 23.5時,69.3,2.0,0.0
2018-06-17 23.75時,72.5,1.0,0.0
2018-06-18 0.0時,70.3,1.7,0.0
2018-06-18 0.25時,73.3,2.0,0.0
2018-06-18 0.5時,74.7,2.3,0.0
2018-06-18 0.75時,72.3,2.0,0.0
2018-06-18 1.0時,69.7,2.0,0.0
2018-06-18 1.25時,68.3,2.0,0.0
2018-06-18 1.5時,66.3,1.0,0.0
2018-06-18 1.75時,69.0,1.0,0.0
2018-06-18 2.0時,65.3,1.7,0.0
2018-06-18 2.25時,64.0,2.0,0.0
2018-06-18 2.5時,59.7,1.7,0.0
2018-06-18 2.75時,63.0,1.0,0.0
2018-06-18 3.0時,60.7,2.0,0.0
2018-06-18 3.25時,63.0,1.0,0.0
2018-06-18 3.5時,60.7,1.3,0.0
2018-06-18 3.75時,59.0,1.0,0.0
2018-06-18 4.0時,61.3,1.0,0.0
2018-06-18 4.25時,62.3,1.3,0.0
2018-06-18 4.5時,78.3,2.3,0.0
2018-06-18 4.75時,62.0,2.0,0.0
2018-06-18 5.0時,68.0,2.0,0.0
2018-06-18 5.25時,84.7,2.7,250.0
2018-06-18 5.75時,112.0,3.0,96.5
2018-06-18 6.0時,74.3,3.0,80.5
2018-06-18 6.5時,84.0,3.0,96.0
2018-06-18 6.75時,112.7,3.0,471.7
2018-06-18 7.0時,86.3,3.0,246.0
2018-06-18 7.5時,88.3,3.0,223.7
2018-06-18 7.75時,84.0,3.0,162.0
2018-06-18 21.5時,77.0,3.0,138.0
2018-06-18 22.0時,78.3,3.0,30.0
2018-06-18 22.25時,94.0,3.0,70.0
2018-06-18 22.5時,80.0,3.0,74.0
2018-06-18 22.75時,94.7,3.0,42.0
2018-06-18 23.75時,78.0,3.0,127.0
